coin_id,name,symbol,categories,last_updated
axie-infinity,Axie Infinity,axs,Gaming (GameFi);NFT;BNB Chain Ecosystem;Axie Infinity Ecosystem;Metaverse;Play To Earn;Harmony Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;Binance Launchpad;Ronin Ecosystem;Card Games;Breeding;Paradigm Portfolio;Gaming Governance Token;Gaming Utility Token;Andreessen Horowitz (a16z) Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Consensys Portfolio;Coinbase 50 Index,2025-07-11T04:57:03.620930+00:00
baby-doge-coin,Baby Doge Coin,babydoge,Gaming (GameFi);BNB Chain Ecosystem;Solana Ecosystem;Meme;Ethereum Ecosystem;Dog-Themed;Solana Meme;Gaming Utility Token,2025-07-11T04:57:04.206266+00:00
babylon,Babylon,baby,Decentralized Finance (DeFi);LSDFi;Paradigm Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Galaxy Digital Portfolio;OKX Ventures Portfolio;Liquid Staking;BTCfi Protocol;Polychain Capital Portfolio,2025-07-11T04:57:04.758600+00:00
banana-for-scale-2,Banana For Scale,bananas31,BNB Chain Ecosystem;Meme;Binance Alpha Spotlight,2025-07-11T04:57:05.915524+00:00
band-protocol,Band Protocol,band,Business Services;Decentralized Finance (DeFi);Oracle;Fantom Ecosystem;Ethereum Ecosystem;Binance Launchpad;Osmosis Ecosystem;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Sequoia Capital Portfolio,2025-07-11T04:57:07.093365+00:00
based-brett,Brett,brett,Meme;Base Ecosystem;Frog-Themed;Base Meme;The Boy’s Club,2025-07-11T04:57:07.761744+00:00
basic-attention-token,Basic Attention,bat,Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;Pantera Capital Portfolio;Energi Ecosystem;Made in USA,2025-07-11T04:57:08.301196+00:00
beam-2,Beam,beam,Smart Contract Platform;Gaming (GameFi);NFT;BNB Chain Ecosystem;Binance Launchpool;Avalanche Ecosystem;Ethereum Ecosystem;DWF Labs Portfolio;Gaming Blockchains;Avalanche L1,2025-07-11T04:57:08.911511+00:00
bedrock-token,Bedrock,br,Decentralized Finance (DeFi);BNB Chain Ecosystem;Liquid Staking Governance Tokens;Berachain Ecosystem;BTCfi Protocol;Binance Wallet IDO,2025-07-11T04:57:09.601442+00:00
beldex,Beldex,bdx,Artificial Intelligence (AI);Smart Contract Platform;Privacy;Masternodes;DePIN;DWF Labs Portfolio;Proof of Stake (PoS);Proof of Work (PoW);Name Service;Privacy Blockchain,2025-07-11T04:57:10.753640+00:00
ben-pasternak,Launch Coin on Believe,launchcoin,Solana Ecosystem;Launchpad;Meme;Solana Meme;Believe.app Ecosystem,2025-07-11T04:57:11.310238+00:00
berachain-bera,Berachain,bera,Smart Contract Platform;Decentralized Finance (DeFi);Layer 1 (L1);Berachain Ecosystem;Binance HODLer Airdrops;Outlier Ventures Portfolio;Polychain Capital Portfolio,2025-07-11T04:57:12.450546+00:00
biconomy,Biconomy,bico,Arbitrum Ecosystem;Ethereum Ecosystem;Account Abstraction;Coinbase Ventures Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Consensys Portfolio;Outlier Ventures Portfolio,2025-07-11T04:57:13.000570+00:00
big-time,Big Time,bigtime,Gaming (GameFi);Play To Earn;Ethereum Ecosystem;RPG;Alameda Research Portfolio;Circle Ventures Portfolio;OKX Ventures Portfolio;MMO,2025-07-11T04:57:14.210972+00:00
binance-peg-dogecoin,Binance-Peg Dogecoin,doge,BNB Chain Ecosystem;Meme;Binance-Peg Tokens,2025-07-11T04:57:16.985872+00:00
binance-peg-sol,Binance-Peg SOL,sol,BNB Chain Ecosystem;Binance-Peg Tokens,2025-07-11T04:57:17.589376+00:00
binance-peg-weth,Binance-Peg WETH,weth,BNB Chain Ecosystem;Binance-Peg Tokens,2025-07-11T04:57:18.158043+00:00
binancecoin,BNB,bnb,Smart Contract Platform;Exchange-based Tokens;BNB Chain Ecosystem;Centralized Exchange (CEX) Token;Layer 1 (L1);Ethereum Ecosystem;Alleged SEC Securities;FTX Holdings;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,2025-07-11T04:57:19.324955+00:00
bio-protocol,Bio Protocol,bio,Binance Launchpool;Solana Ecosystem;Ethereum Ecosystem;Base Ecosystem;Decentralized Science (DeSci),2025-07-11T04:57:19.946511+00:00
bitcoin,Bitcoin,btc,Smart Contract Platform;Layer 1 (L1);FTX Holdings;Proof of Work (PoW);Bitcoin Ecosystem;GMCI 30 Index;GMCI Index;Coinbase 50 Index,2025-07-11T04:27:44.378625+00:00
bitcoin-cash,Bitcoin Cash,bch,Smart Contract Platform;Layer 1 (L1);Bitcoin Fork;Proof of Work (PoW);Coinbase 50 Index,2025-07-11T04:57:21.744850+00:00
bitcoin-cash-sv,Bitcoin SV,bsv,Smart Contract Platform;Bitcoin Fork;Proof of Work (PoW),2025-07-11T04:57:22.808183+00:00
bitget-token,Bitget Token,bgb,Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem;DragonFly Capital Portfolio;Morph L2 Ecosystem,2025-07-11T04:57:23.897702+00:00
bitkub-coin,KUB Coin,kub,Smart Contract Platform,2025-07-11T04:57:24.439566+00:00
bitmart-token,BitMart,bmx,Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem,2025-07-11T04:57:25.579735+00:00
bittensor,Bittensor,tao,Artificial Intelligence (AI);Smart Contract Platform;Layer 1 (L1);DePIN;Bittensor Ecosystem;Polychain Capital Portfolio,2025-07-11T04:57:26.108247+00:00
bittorrent,BitTorrent,btt,Storage;BNB Chain Ecosystem;Ethereum Ecosystem;DePIN;Alleged SEC Securities;Binance Launchpad;Tron Ecosystem;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;BitTorrent Ecosystem;GMCI DePIN Index;GMCI Index,2025-07-11T04:57:26.650396+00:00
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,buidl,Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Aptos Ecosystem;Real World Assets (RWA),2025-07-11T04:57:27.215543+00:00
blast,Blast,blast,Smart Contract Platform;Layer 2 (L2);eGirl Capital Portfolio;Paradigm Portfolio;Blast Ecosystem,2025-07-11T04:57:27.771215+00:00
blockchain-capital,Blockchain Capital,bcap,ZkSync Ecosystem,2025-07-11T04:57:28.345598+00:00
blockstack,Stacks,stx,Infrastructure;Smart Contract Platform;Layer 2 (L2);Bitcoin Sidechains;Stacks Ecosystem;SideChain;GMCI Layer 2 Index;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:57:28.882791+00:00
blur,Blur,blur,NFT;Ethereum Ecosystem;NFT Marketplace;FTX Holdings;NFTFi;eGirl Capital Portfolio;Paradigm Portfolio;GMCI DeFi Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:57:29.465710+00:00
bnb48-club-token,KOGE,koge,BNB Chain Ecosystem;Binance Alpha Spotlight,2025-07-11T04:57:30.244385+00:00
bonk,Bonk,bonk,BNB Chain Ecosystem;Solana Ecosystem;Polygon Ecosystem;Meme;Arbitrum Ecosystem;Ethereum Ecosystem;Aptos Ecosystem;Dog-Themed;Solana Meme;Neon Ecosystem;GMCI Meme Index;GMCI Index;Made in USA;Coinbase 50 Index;4chan-Themed,2025-07-11T04:57:30.804037+00:00
book-of-meme,BOOK OF MEME,bome,Solana Ecosystem;Meme;Frog-Themed;Solana Meme;GMCI Meme Index;GMCI Index,2025-07-11T04:57:31.349044+00:00
bora,BORA,bora,Gaming (GameFi);NFT;Kaia Ecosystem;Gaming Blockchains,2025-07-11T04:57:31.905966+00:00
btse-token,BTSE Token,btse,Exchange-based Tokens;Ethereum Ecosystem,2025-07-11T04:57:33.086643+00:00
build-on,BUILDon,b,BNB Chain Ecosystem;Meme;World Liberty Financial Portfolio,2025-07-11T04:57:33.637333+00:00
cardano,Cardano,ada,Smart Contract Platform;Layer 1 (L1);Cardano Ecosystem;Alleged SEC Securities;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:57:34.796739+00:00
casper-network,Casper Network,cspr,Smart Contract Platform;Layer 1 (L1);Real World Assets (RWA);Proof of Stake (PoS);GMCI Layer 1 Index;GMCI Index;Made in USA,2025-07-11T04:57:35.332027+00:00
cat-in-a-dogs-world,cat in a dogs world,mew,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Cat-Themed,2025-07-11T04:57:35.886142+00:00
celestia,Celestia,tia,Smart Contract Platform;Cosmos Ecosystem;Layer 1 (L1);Data Availability;Modular Blockchain;Osmosis Ecosystem;eGirl Capital Portfolio;Coinbase Ventures Portfolio;Proof of Stake (PoS);Secret Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Delphi Ventures Portfolio;Galaxy Digital Portfolio;Blockchain Capital Portfolio;OKX Ventures Portfolio;Polychain Capital Portfolio,2025-07-11T04:57:36.457701+00:00
celo,Celo,celo,Smart Contract Platform;Celo Ecosystem;Layer 2 (L2);DWF Labs Portfolio;Coinbase Ventures Portfolio;Proof of Stake (PoS);Andreessen Horowitz (a16z) Portfolio;Optimism Superchain Ecosystem;Outlier Ventures Portfolio;Made in USA,2025-07-11T04:57:36.983447+00:00
centrifuge,Centrifuge [OLD],cfg,Polkadot Ecosystem;Real World Assets (RWA);Coinbase Ventures Portfolio;Circle Ventures Portfolio;Galaxy Digital Portfolio;RWA Protocol,2025-07-11T04:57:37.555698+00:00
chain-2,Onyxcoin,xcn,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Base Ecosystem;Proof of Stake (PoS);Pantera Capital Portfolio;Made in USA,2025-07-11T04:57:38.907836+00:00
chaingpt,ChainGPT,cgpt,Artificial Intelligence (AI);Smart Contract Platform;Decentralized Finance (DeFi);Analytics;NFT;BNB Chain Ecosystem;Solana Ecosystem;Launchpad;Ethereum Ecosystem;Telegram Apps;Discord Bots;ChainGPT Launchpad;Poolz Finance Launchpad;AI Agents;AI Applications;Binance Alpha Spotlight;AI Framework;DeFAI,2025-07-11T06:21:37.980318+00:00
chainlink,Chainlink,link,Business Services;Infrastructure;Smart Contract Platform;Decentralized Finance (DeFi);Oracle;BNB Chain Ecosystem;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Gnosis Chain Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Real World Assets (RWA);Base Ecosystem;Osmosis Ecosystem;Cross-chain Communication;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;Milkomeda (Cardano) Ecosystem;GMCI DeFi Index;GMCI 30 Index;GMCI Index;World Liberty Financial Portfolio;Made in USA;Coinbase 50 Index;Chain Abstraction;Hydration Ecosystem,2025-07-11T04:57:40.015578+00:00
cheems-token,Cheems Token,cheems,BNB Chain Ecosystem;Meme,2025-07-11T04:57:40.567860+00:00
chex-token,Chintai,chex,Decentralized Exchange (DEX);Decentralized Finance (DeFi);BNB Chain Ecosystem;Solana Ecosystem;Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem;RWA Protocol,2025-07-11T04:57:41.117572+00:00
chia,Chia,xch,Smart Contract Platform;Layer 1 (L1);DePIN;Andreessen Horowitz (a16z) Portfolio;Made in USA,2025-07-11T04:57:41.716786+00:00
chiliz,Chiliz,chz,Smart Contract Platform;Sports;NFT;Layer 1 (L1);Ethereum Ecosystem;Alleged SEC Securities;Chiliz Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Coinbase 50 Index,2025-07-11T04:57:42.294266+00:00
clbtc,clBTC,clbtc,Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem,2025-07-11T04:57:42.820540+00:00
clearpool,Clearpool,cpool,Decentralized Finance (DeFi);Solana Ecosystem;DaoMaker Launchpad;Ethereum Ecosystem;Real World Assets (RWA);Sequoia Capital Portfolio;Made in USA,2025-07-11T04:57:43.596128+00:00
coinex-token,CoinEx,cet,Decentralized Exchange (DEX);Smart Contract Platform;Exchange-based Tokens;Layer 1 (L1);Ethereum Ecosystem,2025-07-11T04:57:45.867089+00:00
coinshift-usdl-morpho-vault,Coinshift USDL Morpho Vault,csusdl,Ethereum Ecosystem;Morpho Ecosystem,2025-07-11T04:57:46.391026+00:00
compound-ether,cETH,ceth,Crypto-Backed Tokens;Decentralized Finance (DeFi);Compound Tokens;cToken;Ethereum Ecosystem,2025-07-11T04:57:46.933716+00:00
compound-governance-token,Compound,comp,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Paradigm Portfolio;Index Coop Defi Index;Energi Ecosystem;Sora Ecosystem;Polychain Capital Portfolio;Made in USA,2025-07-11T04:57:47.481793+00:00
compound-wrapped-btc,cWBTC,cwbtc,Crypto-Backed Tokens;Decentralized Finance (DeFi);cToken;Ethereum Ecosystem,2025-07-11T04:57:48.106264+00:00
compounding-open-dollar,Compounding OpenDollar,cusdo,Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem,2025-07-11T04:57:48.718657+00:00
conflux-token,Conflux,cfx,Smart Contract Platform;DWF Labs Portfolio;Proof of Work (PoW);GMCI Layer 1 Index;Sequoia Capital Portfolio;GMCI Index;Made in China,2025-07-11T04:57:49.849880+00:00
conscious-token,Conscious Token,conscious,BNB Chain Ecosystem;Four.meme Ecosystem,2025-07-11T04:57:50.415871+00:00
constitutiondao,ConstitutionDAO,people,Meme;Ethereum Ecosystem;PolitiFi,2025-07-11T04:57:50.952204+00:00
convex-finance,Convex Finance,cvx,Decentralized Finance (DeFi);Yield Farming;Yield Aggregator;Ethereum Ecosystem;Metagovernance;Curve Ecosystem;Yield Optimizer,2025-07-11T04:57:51.587835+00:00
cookie,Cookie DAO,cookie,Artificial Intelligence (AI);Marketing;Analytics;BNB Chain Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Base Ecosystem;AI Agents;Binance Alpha Spotlight;InfoFi,2025-07-11T04:57:52.203722+00:00
coredaoorg,Core,core,Smart Contract Platform;Layer 1 (L1);Bitcoin Sidechains;SideChain,2025-07-11T04:57:52.871069+00:00
cosmos,Cosmos Hub,atom,Smart Contract Platform;BNB Chain Ecosystem;Cosmos Ecosystem;Canto Ecosystem;Alleged SEC Securities;Osmosis Ecosystem;Paradigm Portfolio;Proof of Stake (PoS);Kava Ecosystem;Layer 0 (L0);DragonFly Capital Portfolio;Pantera Capital Portfolio;Archway Ecosystem;Evmos Ecosystem;GMCI 30 Index;GMCI Index;Outlier Ventures Portfolio;Polychain Capital Portfolio;Mantra Ecosystem;Coinbase 50 Index,2025-07-11T04:57:53.533574+00:00
coti,COTI,coti,Smart Contract Platform;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Alleged SEC Securities;Privacy Blockchain,2025-07-11T04:57:54.709329+00:00
cow-protocol,CoW Protocol,cow,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Polygon Ecosystem;Gnosis Chain Ecosystem;MEV Protection;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Intent;Delphi Ventures Portfolio;Blockchain Capital Portfolio,2025-07-11T04:57:55.278413+00:00
creditcoin-2,Creditcoin,ctc,Smart Contract Platform;Layer 1 (L1);Ethereum Ecosystem;Real World Assets (RWA);DWF Labs Portfolio;Proof of Stake (PoS);Made in USA,2025-07-11T04:57:56.450547+00:00
crypto-com-chain,Cronos,cro,Smart Contract Platform;Exchange-based Tokens;Centralized Exchange (CEX) Token;Layer 1 (L1);Ethereum Ecosystem;GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,2025-07-11T04:57:58.183508+00:00
dash,Dash,dash,Smart Contract Platform;Privacy;Masternodes;Alleged SEC Securities;Proof of Stake (PoS);Proof of Work (PoW);Made in USA,2025-07-11T04:58:00.439636+00:00
decentraland,Decentraland,mana,Entertainment;Gaming (GameFi);NFT;Metaverse;Polygon Ecosystem;Play To Earn;Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;Simulation Games;Coinbase 50 Index,2025-07-11T04:58:01.107321+00:00
decred,Decred,dcr,Smart Contract Platform;Privacy;Layer 1 (L1);Proof of Stake (PoS);Proof of Work (PoW);Blockchain Capital Portfolio;Made in USA,2025-07-11T04:58:01.648665+00:00
deep,DeepBook,deep,Infrastructure;Decentralized Finance (DeFi);Sui Ecosystem,2025-07-11T04:58:02.236292+00:00
degen-base,Degen,degen,Smart Contract Platform;Meme;Base Ecosystem;Layer 3 (L3);Base Meme;Farcaster Ecosystem;Binance Alpha Spotlight,2025-07-11T04:58:02.800286+00:00
delysium,Delysium,agi,Artificial Intelligence (AI);BNB Chain Ecosystem;Solana Ecosystem;Ethereum Ecosystem;AI Agents;Alameda Research Portfolio,2025-07-11T04:58:03.663767+00:00
dexe,DeXe,dexe,Artificial Intelligence (AI);Decentralized Finance (DeFi);BNB Chain Ecosystem;Ethereum Ecosystem,2025-07-11T04:58:04.266618+00:00
diamond-launch,Diverge Loop,dlc,Analytics;BNB Chain Ecosystem,2025-07-11T04:58:04.924086+00:00
digibyte,DigiByte,dgb,Internet of Things (IOT);Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);Made in USA,2025-07-11T04:58:05.568135+00:00
dog-go-to-the-moon-rune,Dog (Bitcoin),dog,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Starknet Ecosystem;Bitcoin Ecosystem;Runes,2025-07-11T04:58:06.127425+00:00
dogecoin,Dogecoin,doge,Smart Contract Platform;Meme;Dog-Themed;Elon Musk-Inspired;Proof of Work (PoW);GMCI Meme Index;GMCI 30 Index;GMCI Index;Coinbase 50 Index;4chan-Themed,2025-07-11T04:58:06.678949+00:00
